run_id,start_frame,end_frame,label
run_0001,1,1013,not_ready
run_0001,1014,2130,almost_ready
run_0001,2131,2316,ready
run_0002,1,1520,not_ready
run_0002,1521,2688,almost_ready
run_0002,2689,2969,ready
run_0003,1,1197,not_ready
run_0003,1198,1932,almost_ready
run_0003,1933,2034,ready
run_0004,183,1372,not_ready
run_0004,1373,2086,almost_ready
run_0004,2087,2258,ready
run_0005,51,1074,not_ready
run_0005,1075,1931,almost_ready
run_0005,1932,2407,ready
run_0006,1,1040,not_ready
run_0006,1041,1480,almost_ready
run_0006,1481,2186,ready
run_0007,105,1272,not_ready
run_0007,1273,1911,almost_ready
run_0007,1912,2145,ready
run_0008,96,1206,not_ready
run_0008,1207,2019,almost_ready
run_0008,2020,2558,ready
run_0009,144,1315,not_ready
run_0009,1316,1931,almost_ready
run_0009,1932,2118,ready
run_0010,104,1205,not_ready
run_0010,1206,1678,almost_ready
run_0010,1679,2008,ready
run_0011,94,1205,not_ready
run_0011,1206,1645,almost_ready
run_0011,1646,1943,ready
run_0012,215,1272,not_ready
run_0012,1273,1679,almost_ready
run_0012,1680,1800,ready
run_0013,237,1282,not_ready
run_0013,1283,1667,almost_ready
run_0013,1668,2206 ,ready
run_0014,117,1196,not_ready
run_0014,1197,1602,almost_ready
run_0014,1603,2042,ready
run_0015,105,1294,not_ready
run_0015,1295,2053,almost_ready
run_0015,2054,3190,ready
run_0016,360,1602,not_ready
run_0016,1603,2107,almost_ready
run_0016,2108,2272,ready
run_0017,94,1007,not_ready
run_0017,1008,1349,almost_ready
run_0017,1350,1855,ready
run_0018,127,1115,not_ready
run_0018,1116,1500,almost_ready
run_0018,1501,2039,ready
run_0019,94,1097,not_ready
run_0019,1098,1361,almost_ready
run_0019,1362,1790,ready
run_0020,162,1052,not_ready
run_0020,1053,1437,almost_ready
run_0020,1438,2086,ready
run_0021,183,1250,not_ready
run_0021,1251,1712,almost_ready
run_0021,1713,2196,ready
run_0022,491,1384,not_ready
run_0022,1385,1734,almost_ready
run_0022,1735,2152,ready
run_0023,128,1470,not_ready
run_0023,1471,1921,almost_ready
run_0023,1922,2366,ready
run_0024,190,1206,not_ready
run_0024,1207,1701,almost_ready
run_0024,1702,2299,ready
run_0025,160,1095,not_ready
run_0025,1096,1678,almost_ready
run_0025,1679,1801,ready
run_0026,161,1107,not_ready
run_0026,1108,1536,almost_ready
run_0026,1537,2064,ready
run_0027,229,1195,not_ready
run_0027,1196,1690,almost_ready
run_0027,1691,2152,ready
run_0028,138,931,not_ready
run_0028,932,1250,almost_ready
run_0028,1251,1327,ready
run_0029,149,1228,not_ready
run_0029,1229,1767,almost_ready
run_0029,1768,2272,ready
run_0030,127,1139,not_ready
run_0030,1140,1635,almost_ready
run_0030,1636,2735,ready
run_0031,182,1107,not_ready
run_0031,1108,1624,almost_ready
run_0031,1625,1876,ready
run_0032,72,733,not_ready
run_0032,734,1162,almost_ready
run_0032,1163,1393,ready
